Region,File_path,Bounds
AK_BrooksCamp_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_BrooksCamp_2012/ept.json,"([-17347360, 8065364], [-17321558, 8091166])"
AK_Coastal_2009/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Coastal_2009/ept.json,"([-15730544, 10937407], [-15691854, 10976097])"
AK_Fairbanks-NSBorough_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Fairbanks-NSBorough_2010/ept.json,"([-16471700, 9519129], [-16381190, 9609639])"
AK_Juneau_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Juneau_2012/ept.json,"([-15014449, 8012267], [-14943073, 8083643])"
AK_Kenai_2008/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Kenai_2008/ept.json,"([-16906356, 8303726], [-16570284, 8639798])"
AK_MatanuskaSusitna-Lot1_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot1_2011/ept.json,"([-16782341, 8663224], [-16678201, 8767364])"
AK_MatanuskaSusitna-Lot2_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot2_2011/ept.json,"([-16768328, 8706126], [-16390088, 9084366])"
AK_NomeCreek_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NomeCreek_2010/ept.json,"([-16391082, 9681153], [-16348578, 9723657])"
AK_NorthSlope_B10_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B10_2018/ept.json,"([-18152228, 10978280], [-18139030, 10991478])"
AK_NorthSlope_B11_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B11_2018/ept.json,"([-18571233, 10544583], [-18557621, 10558195])"
AK_NorthSlope_B12_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B12_2018/ept.json,"([-16905696, 10474287], [-16872158, 10507825])"
AK_NorthSlope_B13_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B13_2018/ept.json,"([-18156267, 10971456], [-18129745, 10997978])"
AK_NorthSlope_B14_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B14_2018/ept.json,"([-18572778, 10488876], [-18475800, 10585854])"
AK_NorthSlope_B1_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B1_2018/ept.json,"([-15990539, 11105651], [-15983447, 11112743])"
AK_NorthSlope_B2_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B2_2018/ept.json,"([-16816671, 11131304], [-16801711, 11146264])"
AK_NorthSlope_B3_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B3_2018/ept.json,"([-17624395, 11221392], [-17308565, 11537222])"
AK_NorthSlope_B4_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B4_2018/ept.json,"([-17818846, 11272822], [-17806160, 11285508])"
AK_NorthSlope_B5_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B5_2018/ept.json,"([-16002250, 11095749], [-15985036, 11112963])"
AK_NorthSlope_B6_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B6_2018/ept.json,"([-16819308, 10987385], [-16504630, 11302063])"
AK_NorthSlope_B7_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B7_2018/ept.json,"([-17615692, 11209724], [-17315734, 11509682])"
AK_NorthSlope_B8_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B8_2018/ept.json,"([-17834433, 11247373], [-17782965, 11298841])"
AK_NorthSlope_B9_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B9_2018/ept.json,"([-16896611, 10483668], [-16885307, 10494972])"
AK_ValdezB_2007/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_ValdezB_2007/ept.json,"([-16324046, 8607668], [-16242942, 8688772])"
AK_Valdez_2007/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Valdez_2007/ept.json,"([-16324097, 8595907], [-16243073, 8676931])"
AK_YukonFlats_2009/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_YukonFlats_2009/ept.json,"([-16355534, 9810051], [-16124550, 10041035])"
AL_25Co_TL_2017/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_25Co_TL_2017/ept.json,"([-9738245, 3679488], [-9583993, 3833740])"
AL_BaldwinCo-East_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BaldwinCo-East_2011/ept.json,"([-9769660, 3541928], [-9711848, 3599740])"
AL_BaldwinCo-West_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BaldwinCo-West_2011/ept.json,"([-9806543, 3585333], [-9776607, 3615269])"
AL_BlountCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BlountCo_2010/ept.json,"([-9680980, 3993429], [-9606762, 4067647])"
AL_ColbertLauderdale_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_ColbertLauderdale_2011/ept.json,"([-9819698, 4079099], [-9707786, 4191011])"
AL_NorthAL_2019/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_NorthAL_2019/ept.json,"([-9680134, 4083753], [-9599032, 4164855])"
AL_TriCounty_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_TriCounty_2010/ept.json,"([-9638897, 3908730], [-9519967, 4027660])"
AR-TN_NRCS_CaneCreek_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR-TN_NRCS_CaneCreek_2010/ept.json,"([-9988653, 4246921], [-9955677, 4279897])"
AR-TN_NRCS_Sharkey_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR-TN_NRCS_Sharkey_2010/ept.json,"([-10049752, 4228773], [-9967132, 4311393])"
ARRA-AK_EkluntaGlacier_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AK_EkluntaGlacier_2010/ept.json,"([-16603766, 8652921], [-16555184, 8701503])"
ARRA-AL_MobileBay_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AL_MobileBay_2010/ept.json,"([-9800749, 3540495], [-9727125, 3614119])"
ARRA-AL_TennesseeRiver_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AL_TennesseeRiver_2010/ept.json,"([-9938965, 3832734], [-9704069, 4067630])"
ARRA-CA_CentralCoast-Z3_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_CentralCoast-Z3_2010/ept.json,"([-13621084, 4395815], [-13528984, 4487915])"
ARRA-CA_CentralCoast-Z4_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_CentralCoast-Z4_2010/ept.json,"([-13590521, 4270733], [-13426673, 4434581])"
ARRA-CA_ChannelIslands-10_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_ChannelIslands-10_2010/ept.json,"([-13411348, 3998023], [-13353676, 4055695])"
